Energy_eV PDF
9.203848623981798301e+04 8.786808793791637357e-04
9.462230326508235885e+04 9.218560335382484363e-04
9.727865636403507960e+04 9.619651186593356764e-04
1.000095818581085186e+05 1.008718397006607304e-03
1.028171732348424848e+05 1.053405403342100484e-03
1.057035827527211222e+05 1.102258316629013213e-03
1.086710230910625833e+05 1.149343282304044443e-03
1.117217690462270693e+05 1.203958175883793188e-03
1.148581592754419544e+05 1.262181327988558211e-03
1.180825980895825487e+05 1.322258875743412450e-03
1.213975572962814476e+05 1.381359800378703174e-03
1.248055780947802996e+05 1.449191861962315390e-03
1.283092730239756638e+05 1.511486427590197227e-03
1.319113279651534103e+05 1.579321352617612693e-03
1.356145042009458994e+05 1.649156924831869002e-03
1.394216405320907943e+05 1.727058894025719623e-03
1.433356554536145413e+05 1.803034403935111288e-03
1.473595493921075831e+05 1.891701424752933102e-03
1.514964070058075595e+05 1.979266224410156615e-03
1.557493995492535760e+05 2.074287853337599113e-03
1.601217873043227009e+05 2.171461991207775111e-03
1.646169220795152360e+05 2.273818625695211721e-03
1.692382497794016381e+05 2.372850474736649430e-03
1.739893130462025874e+05 2.484746599624196133e-03
1.788737539755270118e+05 2.589550845987840036e-03
1.838953169083490211e+05 2.702050198279196992e-03
1.890578513013648917e+05 2.815856423775151517e-03
1.943653146779306699e+05 2.939043089137894239e-03
1.998217756618408603e+05 3.070387541590445177e-03
2.054314170962765638e+05 3.209807424505128383e-03
2.111985392503122857e+05 3.360294106143920257e-03
2.171275631154382136e+05 3.512679305027417709e-03
2.232230337946281070e+05 3.662584291720945122e-03
2.294896239865493844e+05 3.814615556689575013e-03
2.359321375675847521e+05 3.972404999035933533e-03
2.425555132744139410e+05 4.137422949447982883e-03
2.493648284899771097e+05 4.323526327247271227e-03
2.563653031357216532e+05 4.529339030766210174e-03
2.635623036731185275e+05 4.745735920147231036e-03
2.709613472175126080e+05 4.955411405970985839e-03
2.785681057674625190e+05 5.147498683394283354e-03
2.863884105528125074e+05 5.313372891490254248e-03
2.944282565048271790e+05 5.465203374252015737e-03
3.026938068518184591e+05 5.647329921220749401e-03
3.111913978437863989e+05 5.895833887043495578e-03
3.199275436096949852e+05 6.222288703976235243e-03
3.289089411511087092e+05 6.540552735949487807e-03
3.381424754760168726e+05 6.630752858241451171e-03
3.476352248767780839e+05 6.353851266549417724e-03
3.573944663562368369e+05 5.876253315989195432e-03
3.674276812061679666e+05 5.453318336176104716e-03
3.777425607423243346e+05 5.241692166263177757e-03
3.883470122004876030e+05 5.276229055663219161e-03
3.992491647980398266e+05 5.362766031603261388e-03
4.104573759657014161e+05 5.057539245935956281e-03
4.219802377542164177e+05 4.178785353575291406e-03
4.338265834208924789e+05 3.598547522556004227e-03
4.460054942010465311e+05 4.135133788285684162e-03
4.585263062695479020e+05 5.354714557331380700e-03
4.713986178977926029e+05 6.475247370004502678e-03
4.846322968115975964e+05 7.286687846597294030e-03
4.982374877556561842e+05 7.855136672053947625e-03
5.122246202703489689e+05 8.281848421943927355e-03
5.266044166868786560e+05 8.626926209458868691e-03
5.413879003468519077e+05 8.931602996877535672e-03
5.565864040526109748e+05 9.219971221857956034e-03
5.722115787547959480e+05 9.472793281113014996e-03
5.882754024837918114e+05 9.730145868114079694e-03
6.047901895319113974e+05 1.001483718058620263e-02
6.217685998933517840e+05 1.028859209113391730e-02
6.392236489691620227e+05 1.056527034695436441e-02
6.571687175446560141e+05 1.084282699855389220e-02
6.756175620469301939e+05 1.112292832876290299e-02
6.945843250903374283e+05 1.140227206435785560e-02
7.140835463180085644e+05 1.175143674685003373e-02
